questionText,trlLevel,technologyType,category,toolTip
Concept Development Completed or Prior Art Search Conducted,1,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Potential End-users or Target Beneficiaries and Potential Industry Relevance Identified,1,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,"Already identified who will benefit or who will use the developed technology (farmers, aquaculture operators, extension workers, laboratories, etc.)"
Initial Prototype of Device or Diagnostic Kit Created,2,Agri-Aqua Device and Diagnostic Kits,Technology Status,
First Prototype or Kit Tested for Basic Functions,2,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Preliminary Assessment of User Requirements and Operational Feasibility,2,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
"Working Prototype/Device Refined for Usability, Accuracy, and/or Portability",3,Agri-Aqua Device and Diagnostic Kits,Technology Status,
"Tested for Sensitivity, Specificity, or Measurement Accuracy Under Laboratory Conditions",3,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Reassess Industry Relevance,3,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Device/Kit Validated with Positive Result Under Laboratory or Controlled Field Conditions,4,Agri-Aqua Device and Diagnostic Kits,Technology Status,
"Analytical Performance Confirmed (i.e.: Detection Limits, Repeatability, or Reliability)",4,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Market Viability Assessed using At least Secondary Data,4,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Potential Industry Partner for Industry Testing Identified,4,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Device/Kit Tested Under Pilot-scale or Semi-field Conditions,5,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
User Manual for the Use of Device/Kit Established,5,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Product Promotion using Basic Technology Profile or Techno Demo Conducted,5,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Initial Meeting with Potential Industry Partners,5,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Initial Business Model Canvas (BMC) Accomplished,5,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Agreement with Industry Partners for Product Testing Secured,6,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Device Performance Tested in Multiple Locations,6,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Production/Fabrication/Assembly Manual Established for Scalable Manufacturing,6,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Successful Industry Validation and Replication of Device/Kit,7,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Standardized Protocol/Manual for Industry-scale Production/Fabrication/Assembly of Device/Kit,7,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Letter of Intent for Licensing Secured,7,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Freedom to Operate (FTO) Report Prepared,7,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Technology Commercialization Plan Prepared,7,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Technology Licensing Terms Undergoing Negotiation,7,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Processing of Requirements for Bureau of Animal Industry (BAI) or Bureau of Fisheries and Aquatic Resources (BFAR) or third-party Validation Initiated,7,Agri-Aqua Device and Diagnostic Kits,Regulatory Compliance Status,
Device/kit ready for commercial-scale production (replicable without error),8,Agri-Aqua Device and Diagnostic Kits,Technology Status,
BAI/BFAR/Third-party Validated,8,Agri-Aqua Device and Diagnostic Kits,Regulatory Compliance Status,
Technology Licensing Terms Negotiated,8,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Fairness Opinion Review Requested,8,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Technology Licensing Agreement Signed,9,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Technology Fully Commercialized/Device or Kit Commercially Available to Target Users,9,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Concept Development Completed or Prior Art Search Conducted,1,Agri-Aqua Machinery and Facility,Technology Status,
Potential End-users or Target Beneficiaries and Potential Industry Relevance Identified,1,Agri-Aqua Machinery and Facility,Market and Commercialization Status,"Already identified who will benefit or who will use the developed technology (farmers, aquaculture operators, extension workers, laboratories, etc.)"
Blueprint or Design of the Machine/Facility Completed,2,Agri-Aqua Machinery and Facility,Technology Status,
First Prototype Created,2,Agri-Aqua Machinery and Facility,Technology Status,
Initial Assessment on the Potential User,2,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Working Prototype Created,3,Agri-Aqua Machinery and Facility,Technology Status,
Prototype Tested for Basic Operational Capability,3,Agri-Aqua Machinery and Facility,Technology Status,
Reassess Industry Relevance,3,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Successfully Operated Under Laboratory-Scale or Controlled Conditions,4,Agri-Aqua Machinery and Facility,Technology Status,
Market Viability Assessed using At least Secondary Data,4,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Potential Industry Partner for Industry Testing Identified,4,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Machine/Facility Stable During Pilot-Scale Operation,5,Agri-Aqua Machinery and Facility,Technology Status,
Operation Manual for the Use of Machinery/Facility Established,5,Agri-Aqua Machinery and Facility,Technology Status,
Product Promotion using Basic Technology Profile or Techno Demo Conducted,5,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Initial Meeting with Potential Industry Partners,5,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Initial Business Model Canvas (BMC) Accomplished,5,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Agreement with Industry Partners for Product Testing Secured,6,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Multi-location Testing Conducted,6,Agri-Aqua Machinery and Facility,Technology Status,
"Production or Fabrication Manual, or Technical Drawing or Plan Established",6,Agri-Aqua Machinery and Facility,Technology Status,
Processing of Requirements for Agricultural Machinery Testing and Evaluation Center (AMTEC) Certification Initiated,6,Agri-Aqua Machinery and Facility,Regulatory Compliance Status,
Successful Industry Testing and Validation,7,Agri-Aqua Machinery and Facility,Technology Status,
First Replication Achieved,7,Agri-Aqua Machinery and Facility,Technology Status,
Letter of Intent for Licensing Secured,7,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Technology Licensing Terms Undergoing Negotiation,7,Agri-Aqua Machinery and Facility,Industry Adoption Status,
AMTEC Certification Secured,7,Agri-Aqua Machinery and Facility,Regulatory Compliance Status,
Freedom to Operate (FTO) Report Prepared,7,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
IP Valuation Prepared,7,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Technology Commercialization Plan Prepared,7,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Ready for Commercial-Scale Production (Replicable/ Operational Without Error),8,Agri-Aqua Machinery and Facility,Technology Status,
Technology Licensing Terms Negotiated,8,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Fairness Opinion Review Requested,8,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Technology Licensing Agreement Signed,9,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Technology Fully Commercialized/Machine or Facility Commercially Available to Target Users,9,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Concept Development Completed or Prior Art Search Conducted,1,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Potential End-users or Target Beneficiaries and Potential Industry Relevance Identified,1,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,"Already identified who will benefit or who will use the developed technology (farmers, aquaculture operators, extension workers, laboratories, etc.)"
Initial Experiments Conducted in Laboratory (Benchscale),2,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Initial Formulation Created,2,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Initial Assessment on the Potential User,2,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Feeding Trial Experiments with Target Animals Conducted,3,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Formulation Optimized Based on Initial Results of Feeding Trial (check if not applicable),3,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Proximate Analysis Conducted,3,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Reassess Industry Relevance,3,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Proximate Analysis on Nutritional Adequacy Confirmed,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
"Passed Toxicity Evaluation
",4,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Storage Stability Established,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Market Viability Assessed using At least Secondary Data,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Potential Industry Partner for Industry Testing Identified,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Product Formulation for Scaled-up Pilot Production Created,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Pilot Scale-based Manual of Production Created,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
"Product Promotion and Packaging using Basic Technology Profile Conducted (i.e.: Exhibit, Tradefairs, Pitching)",5,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
